crew_id,BIA,FSC,UIP
FPSIEEDL,1,1,1
OBUWLEFT,1,1,1
WDIRGGXL,1,1,1
LJSXFCUE,1,1,1
OLEBPWYE,1,1,1
JUDZWQAP,1,1,1
UZHEUVRF,1,1,1
ZCCGTMPZ,1,1,1
AJMEGOFP,1,1,1
QJIWIUSL,1,1,1
FHCRHTHA,1,1,1
XIYDNGYQ,1,1,1
XTMIFLNF,1,1,1
GVPQDZVG,1,1,1
JYIVKGHS,1,1,1
RAFTTDMD,1,1,1
OPDUNQQK,1,1,1
KUHFGLJJ,1,1,1
GZQMXSYI,1,1,1
JDOXJEJB,1,1,1
UTEWWJYK,1,1,1
ZZMQRHXX,1,1,1
UFCXWBIG,1,1,1
SXTJLFPP,1,1,1
ZUHUSLJI,1,1,1
IAMPYAWH,1,1,1
VRDUMEWZ,1,1,1
HKJDMMPI,1,1,1
AQVEOGHM,1,1,1
YKCLLOIF,1,1,1
URJIUFLB,1,1,1
JRVQSCIS,1,1,1
IAUEQUMS,1,1,1
MOOROYTZ,1,1,1
QEVVXVQT,1,1,1
XGMCIZSM,1,1,1
IJPIIGMJ,1,1,1
DFNEMMIZ,1,1,1
SRLZNSTD,1,1,1
TMCYFDND,1,1,1
BCBGRLWG,1,1,1
GUUVAJER,1,1,1
JHNUJMPA,1,1,1
NPVUBIKX,1,1,1
MBKWZUZT,1,1,1
YIJOBBYR,1,1,1
DXTZBNZN,1,1,1
CCGWWDXK,1,1,1
YQXWSWEH,1,1,1
QWFYQFQD,1,1,1
JGIKVNJE,1,1,1
ZZCWMSNA,1,1,1
KHHNTJEA,1,1,1
GPSYZIIT,1,1,1
HVYXNEID,1,1,1
KUOMDMXQ,1,1,1
ZBUJEYKE,1,1,1
