crew_id,BIA,LDE
XJTLPRPB,1,1
YJNURUUS,1,1
LYIYCCBY,1,1
YCFTLKLU,1,1
SYETJPMA,1,1
WWXOBEOB,1,1
YGIAJLIM,1,1
ZOHNOCKS,1,1
CMHENOIP,1,1
UMMAVEBP,1,1
LSTZCXJG,1,1
LDHRYGQI,1,1
FXWXZYJR,1,1
LEJFZHJT,1,1
JCLCVJHW,1,1
YBWUNSJM,1,1
IIXOFUXR,1,1
RPPPWCAR,1,1
ZOBCKNCT,1,1
TVJTNJNJ,1,1
ZSRVPJLI,1,1
JJPFXFLE,1,1
JKTQRYOR,1,1
RXDODBWS,1,1
FQWXKHQM,1,1
QVVPZCFY,1,1
LAHAVLXT,1,1
MMVODGAB,1,1
LQHLXQPT,1,1
QIDRGVMY,1,1
VHCGOXHT,1,1
JQJQUVGF,1,1
PMROXRKU,1,1
YPBFFMKQ,1,1
JEXFTOAU,1,1
BUJCWQAI,1,1
KZFJKSYM,1,1
LBBWOAOQ,1,1
VLDZNQMO,1,1
CPOZRJVK,1,1
UBTYHFJR,1,1
OJLCOQOO,1,1
XHKLLSGO,1,1
UHEWMLOL,1,1
BXYQBLHV,1,1
CYWFDDBT,1,1
SUJORRWD,1,1
VOKEXMSR,1,1
GGSXRQNE,1,1
JXSMGGZQ,1,1
SQWGVZDH,1,1
MKHTQNBN,1,1
QLLBWOCU,1,1
TFGIFYOP,1,1
VVFYJYEC,1,1
LUSPVVHK,1,1
YSEDIXUQ,1,1
MYYULHMZ,1,1
WLJHSRRK,1,1
QJKYQWPR,1,1
STJGAMHG,1,1
FXYQWJCU,1,1
GVNQEEDF,1,1
SRPDMCLN,1,1
AWDNWKUV,1,1
ZOSBCIFO,1,1
MDZVPMYS,1,1
PLDLFSZZ,1,1
XIALKKIM,1,1
SBDVFETQ,1,1
IATFSPCL,1,1
MCAZJFLH,1,1
JIPOSULR,1,1
DRKKIRGA,1,1
POXGXNGX,1,1
TLPVBWZX,1,1
TFEREJHA,1,1
SKRNRTEJ,1,1
MIUAWBWC,1,1
LCYMXWJT,1,1
YBIPGUMI,1,1
DJEOKUWY,1,1
GIXZAXDT,1,1
UKRVMRGP,1,1
KRKKRTAR,1,1
QJXFOQGV,1,1
XMDCERZS,1,1
JJOSSCOS,1,1
SNYNBOCA,1,1
PSMLMYOY,1,1
VPWINHTB,1,1
MYCAFQZU,1,1
YISMPROK,1,1
CBLDGLDH,1,1
IJUATIGW,1,1
RGYFSLBZ,1,1
ATWBZMLQ,1,1
YQUTVCHJ,1,1
SMJZYELU,1,1
HCJQOLQD,1,1
SEFLYTOH,1,1
ITBJTHVU,1,1
OSSQEPNI,1,1
HZIORPYK,1,1
HEPVLROY,1,1
BEEBCWGN,1,1
OAYRBHWR,1,1
EZLMKGJA,1,1
VNGXAZFP,1,1
YJLXTGHM,1,1
UARXKOGC,1,1
PUFHBEPG,1,1
ZQHBFYMO,1,1
IMBTMAVG,1,1
GWSVOTAJ,1,1
ZOQOELON,1,1
LGUYOGTU,1,1
OIKMMYCC,1,1
GYPUQHWC,1,1
VWDHDMPR,1,1
FOZMVCYG,1,1
PXMZRRGV,1,1
